Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate
1SCH3,1,1013921,259223
1SCH4,1,1013921,259223
1SCL1,1,1013921,259223
20900,1,988841,194197
22350,1,981481,174383
22400,1,985983,165686
22550,1,988160,158172
22750,1,989834,172129
22850,1,1003264,174746
23250,1,995298,174737
23350,1,995651,171892
23650,1,1000612,156721
23900,1,1015080,185857
23950,1,1021191,186564
24350,1,996121,150850
24450,1,999844,176855
24650,1,1009614,177814
25100,1,1006510,182108
25150,1,1010559,181082
25950,1,1003601,164002
26700,1,994175,185107
26850,1,983249,150034
27000,1,996850,197261
28450,1,991065,163335
29300,1,985555,179528
30350,1,989223,201145
30550,1,982568,196479
31450,1,984155,201407
31550,1,983716,209861
31650,1,995588,221044
31950,1,987340,216552
32200,1,999894,240792
33250,1,992843,231209
33950,1,999690,227009
34050,1,1002425,248841
34200,1,993173,228471
34650,1,1000866,244313
35350,1,1006457,254634
36100,1,989398,215557
37950,1,988485,205450
38300,1,1003227,247967
39650,1,992565,214253
39750,1,995942,218935
39950,1,990776,227477
3SC26,1,1003134,247853
40200,1,1012206,222705
40650,1,1018876,216530
40800,1,1011829,212286
40950,1,1019803,210877
41050,1,1018708,206370
41150,1,1026226,207866
41450,1,1012510,193596
41600,1,1021543,205810
41650,1,1026792,202666
41900,1,1040557,209716
42100,1,1019954,199151
43050,1,1026611,193874
43150,1,1026601,183111
43650,1,1029519,219268
43900,1,1048519,218452
44950,1,1023963,199221
45050,1,1060423,215516
45750,1,1026111,177745
46150,1,1052304,156146
46450,1,1035671,218150
46950,1,1030452,196724
47150,1,1033893,228531
50200,1,960455,169298
50300,1,955759,163383
